event_id,bin_id,mc_energy_GeV,n_doms_ic,has_dm_hit,lf_ang_err,piv_lf_ang_err,mpe_std_ang_err,mpe_piv_ang_err,mpe_piv2_ang_err,spe_std_ang_err,spe_piv_ang_err,ll_mc,ll_lf,ll_plf,ll_mpe_std,ll_mpe_piv,ll_mpe_piv2,ll_spe_std,ll_spe_piv,dp_lf_m,dp_mpe_m
4178,4,38488.707708989896,592,1,1.3485240096796562,0.7340893856682162,0.7508385147434676,0.26300342347640726,0.26300342347640726,1.5368977386304792,1.538248393552763,,,-6.019094101801787,-6.146146952866613,-6.134174314875444,-6.134174314875444,,-6.0870421840216125,21.921060200316045,3.3520060732573103
4179,4,53116.3782403109,289,1,1.087514042589607,0.9034450884507861,0.5719294706442795,0.7327322083148827,0.7327322083148827,0.8280247418203748,0.829843000672071,,-7.428198490385966,-6.019094101801787,-6.0801137727931724,-6.069575399322159,-6.069575399322159,-9.765928739253093,-9.766992219810065,2.2208720773992816,4.48455824333131
4180,4,39234.32345717213,523,1,4.916055067935887,3.299578328575612,0.43310721058794893,0.4336451786871247,0.4336451786871247,1.872065479809606,1.7242602207138273,,,-6.019094101801787,-6.202578052609344,-6.202417866729856,-6.202417866729856,,-6.098144759618118,29.900143391950028,1.8315649283585047
4181,4,53384.08970574422,264,1,0.7369762857896732,0.2685833568034824,0.044162218482131456,0.04431231792901624,0.04431231792901624,0.25689886399383316,0.25169893388366765,,-17.147580627585707,-6.019094101801787,-6.254256995413762,-6.254222580630529,-6.254222580630529,-6.940076069439401,-6.93662702065285,12.582203843840443,1.1179901948832385
4182,4,81047.88868753918,482,1,8.25105345509921,2.9697430165750407,0.18558504254622216,0.1860273221603132,0.1860273221603132,2.0863940290099365,2.0737000442129863,,,-6.019094101801787,-6.3016965978675845,-6.301749692502727,-6.301749692502727,-7.632331116928585,-7.690085122792126,51.04829310462179,0.6051171422346839
4183,4,43085.80273649572,94,1,28.722979973037365,13.070433284609933,1.8952189863998956,1.8966374678413906,1.8966374678413906,3.3186844224895613,5.9351476682153494,,,-6.019094101801787,-6.12513988223608,-6.125367488964599,-6.125367488964599,,-6.083796751700346,68.38463877973076,4.899633616907661
4184,4,59859.99863472195,582,1,4.93763437873604,1.326849704289838,0.5230503604770672,0.5237880868661122,0.5237880868661122,2.042880435149009,2.052538580179094,,,-6.019094101801787,-6.228886073526691,-6.228707034987243,-6.228707034987243,,-7.019287059833243,38.60537615238272,2.1474317441124247
4185,4,44221.622612723695,60,1,33.91535669178074,43.78889526413445,34.629570326834084,88.72500906984334,88.72500906984334,17.26794001944648,69.28153261866385,,,-6.019094101801787,,-6.299492317805145,-6.299492317805145,-6.100697246863097,-37.76983008729916,84.2507722835171,115.89412004562469
4186,4,58014.46844815873,395,1,13.285584921508022,10.004582967110858,0.4001429462311996,0.39968108638445476,0.39968108638445476,3.7411543553691695,3.741356182956024,,,-6.019094101801787,-6.2079035028909555,-6.208101457879401,-6.208101457879401,,-6.020345533401326,44.27736110967332,1.9369175388012394
4187,4,40155.356914153155,72,1,46.34482290031875,50.497222602685106,,67.17374187078228,,11.15098628339289,41.4618268400398,,,-6.019094101801787,,-8.476395659498307,,,-259.38278831299516,51.651498548554706,
4188,4,40759.23087648865,385,1,10.039085357442993,6.175683926082623,0.16845452114820061,0.16847102978445513,0.16847102978445513,2.7890247873610887,2.7838182310631896,,,-6.019094101801787,-6.288464679023486,-6.288351789976263,-6.288351789976263,-6.200781339512467,-6.201771434633272,40.76428588782895,0.8324741501304407
4189,4,40841.70045790171,236,1,1.984886001654767,1.1329629932896144,0.35900616950082564,0.36004469371761094,0.36004469371761094,1.546885422512566,1.5403476091988098,,-12.796779521908652,-6.019094101801787,-6.121348279163594,-6.121065799828612,-6.121065799828612,,-6.56165886083514,11.96833921757725,5.334821554127488
4190,4,64205.17169535267,708,1,1.280377402178138,1.1225523508515485,0.19358220039010476,0.22939373844459662,0.22939373844459662,0.14374556077651446,0.14128350162403358,,-12.466327284451305,-6.019094101801787,-6.287385861090865,-6.23812368979104,-6.23812368979104,-9.713942207744287,-9.713436155241475,8.49193627733547,1.095921067374235
4191,4,35450.88528731167,99,1,41.54068545494018,34.17581546815424,60.68394098676758,25.026173272555692,25.026173272555692,6.398344212367204,3.1312898602722323,,,-6.019094101801787,,-25.389823529758083,-25.389823529758083,,-7.593801667747432,43.846907403135624,667.0928590664638
4192,4,45020.459330226775,570,1,0.8919237940575749,1.2318214384145747,0.6484788891824914,0.6472046006268067,0.6472046006268067,0.7180949868887859,0.7173339028731,,-13.82194705449806,-6.019094101801787,-6.183149991735746,-6.1834531411420945,-6.1834531411420945,-6.359654399340917,-6.359227001409033,14.185064561820887,3.03144069991568
4193,4,48013.24819598666,62,1,55.9883994157638,69.26070054240982,,50.73393582893244,,65.1919431660886,65.1646831712252,,,-6.019094101801787,,-14.883158698756729,,,-29.445715766228872,33.22556862529156,
4194,4,57821.67315321867,779,1,4.195264925439011,0.7933733962457455,0.28553770754273794,0.2855654602495422,0.2855654602495422,0.9536113504838679,0.9529906899990326,,,-6.019094101801787,-6.263961586530989,-6.264029727712739,-6.264029727712739,-11.735137989933843,-11.738632979830268,32.2485834404828,1.0211792876192993
